summa, 1, 1, 1, 384, 384, 384, 1, 1, 1, 4.991957, 25, 0.199678
summa, 1, 2, 1, 384, 384, 384, 2, 1, 1, 3.459929, 25, 0.138397
summa, 1, 3, 1, 384, 384, 384, 3, 1, 1, 1.843346, 25, 0.073734
summa, 1, 4, 1, 384, 384, 384, 4, 1, 1, 1.904331, 25, 0.076173
summa, 1, 6, 1, 384, 384, 384, 6, 1, 1, 1.276517, 25, 0.051061
summa, 1, 8, 1, 384, 384, 384, 8, 1, 1, 0.655043, 25, 0.026202
summa, 1, 12, 1, 384, 384, 384, 12, 1, 1, 0.694911, 25, 0.027796
summa, 1, 16, 1, 384, 384, 384, 16, 1, 1, 0.910329, 25, 0.036413
summa, 1, 24, 1, 384, 384, 384, 24, 1, 1, 5.350155, 25, 0.214006
summa, 1, 1, 1, 384, 384, 384, 1, 1, 2, 3.056371, 25, 0.122255
summa, 1, 2, 1, 384, 384, 384, 2, 1, 2, 1.724251, 25, 0.068970
summa, 1, 3, 1, 384, 384, 384, 3, 1, 2, 1.314483, 25, 0.052579
summa, 1, 4, 1, 384, 384, 384, 4, 1, 2, 0.939900, 25, 0.037596
summa, 1, 6, 1, 384, 384, 384, 6, 1, 2, 0.690482, 25, 0.027619
summa, 1, 8, 1, 384, 384, 384, 8, 1, 2, 0.680663, 25, 0.027227
summa, 1, 12, 1, 384, 384, 384, 12, 1, 2, 0.545758, 25, 0.021830
summa, 1, 16, 1, 384, 384, 384, 16, 1, 2, 0.586168, 25, 0.023447
summa, 1, 24, 1, 384, 384, 384, 24, 1, 2, 5.832616, 25, 0.233305
summa, 1, 1, 1, 768, 768, 768, 1, 1, 1, 34.843299, 25, 1.393732
summa, 1, 2, 1, 768, 768, 768, 2, 1, 1, 18.957538, 25, 0.758302
summa, 1, 3, 1, 768, 768, 768, 3, 1, 1, 13.060716, 25, 0.522429
summa, 1, 4, 1, 768, 768, 768, 4, 1, 1, 9.249657, 25, 0.369986
summa, 1, 6, 1, 768, 768, 768, 6, 1, 1, 6.992672, 25, 0.279707
summa, 1, 8, 1, 768, 768, 768, 8, 1, 1, 5.004331, 25, 0.200173
summa, 1, 12, 1, 768, 768, 768, 12, 1, 1, 3.821128, 25, 0.152845
summa, 1, 16, 1, 768, 768, 768, 16, 1, 1, 5.486239, 25, 0.219450
summa, 1, 24, 1, 768, 768, 768, 24, 1, 1, 11.296796, 25, 0.451872
summa, 1, 1, 1, 768, 768, 768, 1, 1, 2, 25.182068, 25, 1.007283
summa, 1, 2, 1, 768, 768, 768, 2, 1, 2, 14.153259, 25, 0.566130
summa, 1, 3, 1, 768, 768, 768, 3, 1, 2, 9.346104, 25, 0.373844
summa, 1, 4, 1, 768, 768, 768, 4, 1, 2, 7.408571, 25, 0.296343
summa, 1, 6, 1, 768, 768, 768, 6, 1, 2, 4.585204, 25, 0.183408
summa, 1, 8, 1, 768, 768, 768, 8, 1, 2, 3.596388, 25, 0.143856
summa, 1, 12, 1, 768, 768, 768, 12, 1, 2, 2.809305, 25, 0.112372
summa, 1, 16, 1, 768, 768, 768, 16, 1, 2, 3.931974, 25, 0.157279
summa, 1, 24, 1, 768, 768, 768, 24, 1, 2, 10.934057, 25, 0.437362
summa, 1, 1, 1, 1536, 1536, 1536, 1, 1, 1, 296.252910, 25, 11.850116
summa, 1, 2, 1, 1536, 1536, 1536, 2, 1, 1, 143.928961, 25, 5.757158
summa, 1, 3, 1, 1536, 1536, 1536, 3, 1, 1, 99.801815, 25, 3.992073
summa, 1, 4, 1, 1536, 1536, 1536, 4, 1, 1, 73.216486, 25, 2.928659
summa, 1, 6, 1, 1536, 1536, 1536, 6, 1, 1, 51.767396, 25, 2.070696
summa, 1, 8, 1, 1536, 1536, 1536, 8, 1, 1, 39.741831, 25, 1.589673
summa, 1, 12, 1, 1536, 1536, 1536, 12, 1, 1, 29.478787, 25, 1.179151
summa, 1, 16, 1, 1536, 1536, 1536, 16, 1, 1, 44.269129, 25, 1.770765
summa, 1, 24, 1, 1536, 1536, 1536, 24, 1, 1, 64.801078, 25, 2.592043
summa, 1, 1, 1, 1536, 1536, 1536, 1, 1, 2, 200.515083, 25, 8.020603
summa, 1, 2, 1, 1536, 1536, 1536, 2, 1, 2, 101.006397, 25, 4.040256
summa, 1, 3, 1, 1536, 1536, 1536, 3, 1, 2, 69.222527, 25, 2.768901
summa, 1, 4, 1, 1536, 1536, 1536, 4, 1, 2, 52.037125, 25, 2.081485
summa, 1, 6, 1, 1536, 1536, 1536, 6, 1, 2, 35.759121, 25, 1.430365
summa, 1, 8, 1, 1536, 1536, 1536, 8, 1, 2, 27.361306, 25, 1.094452
summa, 1, 12, 1, 1536, 1536, 1536, 12, 1, 2, 22.687010, 25, 0.907480
summa, 1, 16, 1, 1536, 1536, 1536, 16, 1, 2, 29.531667, 25, 1.181267
summa, 1, 24, 1, 1536, 1536, 1536, 24, 1, 2, 34.834101, 25, 1.393364
